id,movie_id,language_id
1,19995,1
2,19995,2
3,285,1
4,206647,3
5,206647,1
6,206647,2
7,206647,4
8,206647,5
9,49026,1
10,49529,1
11,559,1
12,559,3
13,38757,1
14,99861,1
15,767,1
16,209112,1
17,1452,1
18,1452,3
19,1452,5
20,10764,1
21,10764,2
22,10764,4
23,10764,3
24,10764,5
25,58,1
26,58,6
27,58,7
28,58,8
29,57201,1
30,49521,1
31,2454,1
32,24428,1
33,1865,1
34,1865,2
35,41154,1
36,122917,1
37,1930,1
38,20662,1
39,20662,9
40,57158,1
41,2268,10
42,2268,1
43,2268,11
44,2268,3
45,254,1
46,597,1
47,597,3
48,597,5
49,597,12
50,597,4
51,597,11
52,271110,13
53,271110,1
54,271110,5
55,271110,11
56,44833,1
57,44833,9
58,135397,1
59,37724,1
60,558,1
61,558,11
62,558,8
63,68721,1
64,12155,1
65,36668,1
66,62211,1
67,8373,1
68,8373,2
69,91314,1
70,68728,1
71,102382,1
72,20526,1
73,49013,1
74,49013,14
75,49013,4
76,49013,3
77,44912,1
78,10193,1
79,10193,2
80,534,1
81,534,4
82,168259,1
83,72190,1
84,127585,1
85,54138,1
86,81005,1
87,64682,1
88,9543,1
89,68726,1
90,38356,1
91,217,1
92,217,5
93,217,11
94,105864,1
95,62177,1
96,188927,1
97,10681,1
98,5174,15
99,5174,1
100,5174,3
101,5174,14
102,5174,8
103,14161,1
104,14161,3
105,14161,16
106,14161,4
107,14161,15
108,14161,8
109,14161,17
110,14161,11
111,14161,18
112,17979,1
113,76757,1
114,258489,1
115,411,1
116,411,5
117,246655,1
118,155,1
119,155,8
120,14160,1
121,15512,1
122,1726,1
123,1726,19
124,1726,20
125,1726,21
126,44826,1
127,8487,1
128,1735,1
129,1735,8
130,1735,22
131,297761,1
132,2698,1
133,137113,1
134,9804,1
135,9804,5
136,9804,2
137,14869,1
138,14869,3
139,14869,23
140,150540,1
141,278927,1
142,10138,1
143,10138,11
144,10138,3
145,58595,1
146,102651,1
147,119450,1
148,79698,1
149,64686,1
150,64686,14
151,100402,1
152,10192,1
153,158852,1
154,177572,1
155,82690,1
156,5255,1
157,47933,1
158,10191,1
159,296,1
160,118340,1
161,157336,1
162,27205,1
163,27205,14
164,27205,3
165,315011,4
166,315011,5
167,315011,1
168,315011,14
169,49051,1
170,9799,1
171,4922,1
172,49538,5
173,49538,1
174,49538,2
175,49538,3
176,49538,11
177,131634,1
178,27022,1
179,503,1
180,503,2
181,241259,1
182,810,3
183,68735,1
184,87101,1
185,10140,1
186,676,3
187,676,1
188,676,14
189,1858,2
190,1858,1
191,1966,1
192,675,1
193,674,1
194,674,3
195,8960,1
196,8960,14
197,6479,1
198,118,1
199,2062,1
200,272,1
201,272,20
202,272,8
203,10527,1
204,10527,4
205,10527,9
206,18360,1
207,2080,1
208,605,1
209,605,3
210,109445,1
211,604,1
212,76338,1
213,76341,1
214,13448,1
215,13448,4
216,13448,15
217,13448,3
218,13448,5
219,13448,8
220,10195,1
221,13053,1
222,19585,1
223,57165,1
224,62213,1
225,177677,5
226,177677,1
227,177677,12
228,7978,1
229,5559,1
230,49444,1
231,10196,1
232,956,5
233,956,1
234,956,4
235,956,8
236,956,24
237,956,25
238,117251,1
239,50321,1
240,11619,1
241,266647,1
242,82703,1
243,652,1
244,80321,1
245,80321,2
246,80321,9
247,36669,1
248,36669,26
249,36669,25
250,36669,5
251,36669,2
252,36669,10
253,36669,4
254,43074,1
255,95,1
256,95,11
257,608,1
258,2310,1
259,140300,1
260,56292,1
261,56292,11
262,56292,3
263,56292,21
264,56292,12
265,81188,3
266,81188,1
267,7552,1
268,616,1
269,616,14
270,147441,1
271,13475,1
272,557,1
273,82702,1
274,205584,1
275,10048,1
276,10048,5
277,10048,26
278,10048,11
279,10048,2
280,13183,1
281,944,1
282,944,25
283,944,8
284,1927,1
285,1927,2
286,72559,1
287,7364,1
288,7364,3
289,7364,21
290,2114,1
291,1771,3
292,1771,27
293,1771,1
294,36643,1
295,36643,11
296,8619,3
297,8619,17
298,8619,1
299,50620,1
300,65759,1
301,1724,17
302,1724,2
303,1724,1
304,267935,1
305,281957,1
306,281957,3
307,77950,1
308,44896,1
309,270946,1
310,2503,1
311,2503,3
312,2503,21
313,2503,11
314,2503,2
315,9502,1
316,102899,1
317,101299,1
318,228161,1
319,74,1
320,8961,1
321,8961,2
322,417859,2
323,417859,1
324,27576,1
325,27576,11
326,27576,26
327,86834,1
328,17578,1
329,673,1
330,6972,1
331,6972,14
332,82700,1
333,10567,1
334,181533,1
335,38055,1
336,671,1
337,49524,1
338,22,1
339,131631,1
340,591,1
341,591,3
342,591,15
