id,movie_id,keyword_id
1,19995,1463
2,19995,2964
3,19995,3386
4,19995,3388
5,19995,3679
6,19995,3801
7,19995,9685
8,19995,9840
9,19995,9882
10,19995,9951
11,19995,10148
12,19995,10158
13,19995,10987
14,19995,11399
15,19995,13065
16,19995,14643
17,19995,14720
18,19995,165431
19,19995,193554
20,19995,206690
21,19995,209714
22,285,270
23,285,726
24,285,911
25,285,1319
26,285,2038
27,285,2052
28,285,2580
29,285,2660
30,285,3799
31,285,5740
32,285,5941
33,285,6155
34,285,6211
35,285,12988
36,285,157186
37,285,179430
38,206647,470
39,206647,818
40,206647,4289
41,206647,9663
42,206647,14555
43,206647,156095
44,206647,158431
45,49026,849
46,49026,853
47,49026,949
48,49026,1308
49,49026,1437
50,49026,3051
51,49026,3562
52,49026,6969
53,49026,7002
54,49026,9665
55,49026,9715
56,49026,9990
57,49026,10044
58,49026,13015
59,49026,14796
60,49026,18933
61,49026,156082
62,49026,156395
63,49026,173272
64,49026,179093
65,49026,230775
66,49529,818
67,49529,839
68,49529,1456
69,49529,3801
70,49529,7376
71,49529,9951
72,49529,10028
73,49529,10539
74,49529,10685
75,49529,161511
76,49529,163252
77,49529,179102
78,49529,190320
79,49529,195446
80,49529,207928
81,49529,209714
82,559,851
83,559,1453
84,559,1965
85,559,2038
86,559,3446
87,559,3986
88,559,4391
89,559,4959
90,559,5776
91,559,5789
92,559,5857
93,559,6062
94,559,8828
95,559,9663
96,559,9715
97,559,9748
98,38757,1562
99,38757,2343
100,38757,2673
101,38757,3205
102,38757,4344
103,38757,7376
104,38757,10336
105,38757,33787
106,38757,155658
107,38757,162219
108,38757,163545
109,38757,179411
110,38757,179431
111,38757,215258
112,38757,234183
113,99861,8828
114,99861,9663
115,99861,9715
116,99861,9717
117,99861,10629
118,99861,155030
119,99861,179431
120,99861,180547
121,99861,209714
122,767,616
123,767,2343
124,767,3872
125,767,3884
126,767,6333
127,767,10164
128,767,10791
129,767,12564
130,209112,849
131,209112,7002
132,209112,9715
133,209112,9717
