id,movie_id,genre_id
1,19995,28
2,19995,12
3,19995,14
4,19995,878
5,285,12
6,285,14
7,285,28
8,206647,28
9,206647,12
10,206647,80
11,49026,28
12,49026,80
13,49026,18
14,49026,53
15,49529,28
16,49529,12
17,49529,878
18,559,14
19,559,28
20,559,12
21,38757,16
22,38757,10751
23,99861,28
24,99861,12
25,99861,878
26,767,12
27,767,14
28,767,10751
29,209112,28
30,209112,12
31,209112,14
32,1452,12
33,1452,14
34,1452,28
35,1452,878
36,10764,12
37,10764,28
38,10764,53
39,10764,80
40,58,12
41,58,14
42,58,28
43,57201,28
44,57201,12
45,57201,37
46,49521,28
47,49521,12
48,49521,14
49,49521,878
50,2454,12
51,2454,10751
52,2454,14
53,24428,878
54,24428,28
55,24428,12
56,1865,12
57,1865,28
58,1865,14
59,41154,28
60,41154,35
61,41154,878
62,122917,28
63,122917,12
64,122917,14
65,1930,28
66,1930,12
67,1930,14
68,20662,28
69,20662,12
70,57158,12
71,57158,14
72,2268,12
73,2268,14
74,254,12
75,254,18
76,254,28
77,597,18
78,597,10749
79,597,53
80,271110,12
81,271110,28
82,271110,878
83,44833,53
84,44833,28
85,44833,12
86,44833,878
87,135397,28
88,135397,12
89,135397,878
90,135397,53
91,37724,28
92,37724,12
93,37724,53
94,558,28
95,558,12
96,558,14
97,68721,28
98,68721,12
99,68721,878
100,12155,10751
101,12155,14
102,12155,12
103,36668,12
104,36668,28
105,36668,878
106,36668,53
107,62211,16
108,62211,10751
109,8373,878
110,8373,28
111,8373,12
112,91314,878
113,91314,28
114,91314,12
115,68728,14
116,68728,12
117,68728,10751
118,102382,28
119,102382,12
120,102382,14
121,20526,12
122,20526,28
123,20526,878
124,49013,16
125,49013,10751
126,49013,12
127,49013,35
128,44912,12
129,44912,28
130,44912,53
131,44912,878
132,10193,16
133,10193,10751
134,10193,35
135,534,28
136,534,878
137,534,53
138,168259,28
139,72190,28
140,72190,18
141,72190,27
142,72190,878
143,72190,53
144,127585,28
145,127585,12
146,127585,14
147,127585,878
148,54138,28
149,54138,12
150,54138,878
151,81005,28
152,81005,10751
153,81005,14
154,64682,18
155,64682,10749
156,9543,12
157,9543,14
158,9543,28
159,9543,10749
160,68726,28
161,68726,878
162,68726,12
163,38356,28
164,38356,878
165,38356,12
166,217,12
167,217,28
168,105864,12
169,105864,16
170,105864,10751
171,62177,16
172,62177,12
173,62177,35
174,62177,10751
175,62177,28
176,62177,14
177,188927,28
178,188927,12
179,188927,878
180,10681,16
181,10681,10751
182,5174,28
183,5174,35
184,5174,80
185,5174,53
186,14161,28
187,14161,12
188,14161,878
189,17979,16
190,17979,18
191,76757,878
192,76757,14
193,76757,28
194,76757,12
195,258489,28
196,258489,12
197,411,12
198,411,10751
199,411,14
200,246655,878
201,155,18
202,155,28
203,155,80
204,155,53
205,14160,16
206,14160,35
207,14160,10751
208,14160,12
209,15512,16
210,15512,10751
211,15512,12
212,15512,878
213,1726,28
214,1726,878
215,1726,12
216,44826,12
217,44826,18
218,44826,10751
219,8487,28
220,8487,12
221,8487,35
222,8487,878
223,8487,37
224,1735,12
225,1735,28
226,1735,14
227,297761,28
228,297761,12
229,297761,80
230,297761,14
231,297761,878
232,2698,14
233,2698,35
234,2698,10751
235,137113,28
236,137113,878
237,9804,12
238,9804,28
239,14869,12
240,14869,28
241,14869,53
242,14869,878
243,150540,18
244,150540,35
245,150540,16
246,150540,10751
247,278927,10751
248,278927,12
249,278927,18
250,278927,14
251,10138,12
252,10138,28
253,10138,878
254,58595,12
255,58595,14
256,58595,18
257,102651,14
258,102651,12
259,102651,28
260,102651,10751
261,102651,10749
262,119450,878
263,119450,28
264,119450,18
265,119450,53
266,79698,28
267,79698,12
268,79698,878
269,79698,10749
270,64686,18
271,64686,28
272,64686,12
273,64686,14
274,100402,28
275,100402,12
276,100402,878
277,10192,35
278,10192,12
279,10192,14
280,10192,16
281,10192,10751
282,158852,12
283,158852,10751
284,158852,9648
285,158852,878
286,177572,12
287,177572,10751
288,177572,16
289,177572,28
290,177572,35
291,82690,10751
292,82690,16
293,82690,35
294,82690,12
295,5255,12
296,5255,16
297,5255,10751
298,5255,14
299,47933,28
300,47933,12
301,47933,878
302,10191,14
303,10191,12
304,10191,16
305,10191,10751
306,296,28
307,296,53
308,296,878
309,118340,28
310,118340,878
311,118340,12
312,157336,12
313,157336,18
314,157336,878
315,27205,28
316,27205,53
317,27205,878
318,27205,9648
319,27205,12
320,315011,28
321,315011,12
322,315011,18
323,315011,27
324,315011,878
325,49051,12
326,49051,14
327,49051,28
328,9799,28
329,9799,80
330,9799,53
331,4922,14
332,4922,18
333,4922,53
334,4922,9648
335,4922,10749
336,49538,28
337,49538,878
338,49538,12
339,131634,28
340,131634,12
341,131634,878
342,27022,14
343,27022,12
344,27022,28
345,27022,35
346,27022,18
347,503,12
348,503,28
349,503,18
350,503,53
351,241259,14
352,810,14
353,810,12
354,810,16
355,810,35
356,810,10751
357,68735,28
358,68735,12
359,68735,14
360,87101,878
361,87101,28
362,87101,53
363,87101,12
364,10140,12
365,10140,10751
366,10140,14
367,676,36
368,676,10749
369,676,10752
370,1858,12
371,1858,878
372,1858,28
373,1966,10752
