id,movie_id,company_id
1,19995,289
2,19995,306
3,19995,444
4,19995,574
5,285,2
6,285,130
7,285,19936
8,206647,5
9,206647,10761
10,206647,69434
11,49026,923
12,49026,6194
13,49026,9993
14,49026,9996
15,49529,2
16,559,5
17,559,326
18,559,19551
19,38757,2
20,38757,6125
21,99861,420
22,99861,15357
23,99861,76043
24,767,6194
25,767,7364
26,209112,429
27,209112,507
28,209112,6194
29,209112,9993
30,209112,9995
31,209112,41624
32,1452,429
33,1452,923
34,1452,6194
35,1452,9168
36,10764,7576
37,58,2
38,58,130
39,58,19936
40,57201,2
41,57201,130
42,57201,2691
43,57201,37380
44,57201,37381
45,57201,37382
46,49521,923
47,49521,6194
48,49521,9993
49,49521,9996
50,49521,78685
51,2454,5888
52,2454,10221
53,2454,11345
54,2454,11440
55,2454,11441
56,2454,11442
57,2454,76043
58,24428,4
59,24428,420
60,1865,2
61,1865,130
62,1865,20478
63,41154,56
64,41154,5627
65,41154,6736
66,41154,9169
67,41154,11084
68,122917,11
69,122917,12
70,122917,174
71,122917,7413
72,122917,8411
73,1930,5
74,1930,326
75,1930,7505
76,20662,23
77,20662,33
78,20662,1645
79,20662,7295
80,57158,11
81,57158,12
82,57158,174
83,57158,8411
84,2268,12
85,2268,289
86,2268,1473
87,2268,1938
88,254,11
89,254,33
90,254,68
91,254,69
92,597,4
93,597,306
94,597,574
95,271110,264
96,271110,420
97,271110,3036
98,271110,84424
99,271110,84425
100,44833,33
101,44833,2598
102,44833,13778
103,44833,20153
104,135397,13
105,135397,56
106,135397,923
107,135397,3341
108,135397,6452
109,37724,5
110,558,5
111,558,326
112,558,19551
113,68721,420
114,12155,2
115,12155,598
116,12155,8601
117,12155,16314
118,12155,20004
119,36668,289
120,36668,306
121,36668,431
122,36668,444
123,36668,445
124,36668,9168
125,36668,12247
126,36668,19551
127,36668,79028
128,36668,79029
129,36668,79030
130,62211,2
131,62211,3
132,8373,4
133,8373,27
134,8373,56
135,8373,435
136,8373,2481
137,8373,22826
138,8373,76043
139,91314,4
140,91314,56
141,91314,435
142,91314,2481
143,91314,11413
144,91314,22826
145,91314,38833
146,91314,76043
147,68728,2
148,68728,16314
149,102382,5
150,102382,19551
151,102382,31828
152,102382,53462
153,20526,2
154,20526,7161
155,20526,18713
156,20526,23791
157,20526,76043
158,20526,76067
159,49013,2
160,49013,3
161,44912,2609
162,44912,6194
163,44912,9993
